World_Bank_Income_Group,Region,Country,ISO3,Subgroup,Indicator,DQQ_Question,Indicator_Number,Unit,Mean,Lower_95_CI,Upper_95_CI,n,Start_Date,End_Date,Start_Year,End_Year
Low income,Asia Pacific,Afghanistan,AFG,All,MDD-W,NA,1,Percentage,NA,NA,NA,NA,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,MDD-W,NA,1,Percentage,NA,NA,NA,NA,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,MDD-W,NA,1,Percentage,30.28,22.83,38.92,886,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,MDD-W,NA,1,Percentage,31.28,20.6,44.41,482,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,MDD-W,NA,1,Percentage,29.21,20.38,39.95,404,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,All-5,NA,2,Percentage,19.95,14.91,25.53,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,All-5,NA,2,Percentage,23.35,18.11,29.55,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,All-5,NA,2,Percentage,16.62,11.24,23.9,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,All-5,NA,2,Percentage,22.01,15.36,30.5,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,All-5,NA,2,Percentage,17.76,11.81,25.83,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Protective Food Consumption,NA,3,Percentage,24.44,18.89,30.45,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Protective Food Consumption,NA,3,Percentage,28.54,22.66,35.25,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Protective Food Consumption,NA,3,Percentage,20.42,14.71,27.62,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Protective Food Consumption,NA,3,Percentage,27.56,20.17,36.42,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Protective Food Consumption,NA,3,Percentage,21.11,14.5,29.68,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Unhealthy Food Consumption,NA,4,Percentage,49.1,42.22,56,2001,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Unhealthy Food Consumption,NA,4,Percentage,55.93,48.82,62.8,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Unhealthy Food Consumption,NA,4,Percentage,42.39,33.94,51.3,1001,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Unhealthy Food Consumption,NA,4,Percentage,48.73,38.18,59.39,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Unhealthy Food Consumption,NA,4,Percentage,49.49,42.44,56.57,911,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Healthy Diet Pattern,NA,5,Percentage,6.79,5.29,8.46,2001,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Healthy Diet Pattern,NA,5,Percentage,7.23,5.43,9.58,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Healthy Diet Pattern,NA,5,Percentage,6.36,4.61,8.71,1001,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Healthy Diet Pattern,NA,5,Percentage,7.78,5.54,10.83,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Healthy Diet Pattern,NA,5,Percentage,5.73,3.99,8.17,911,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,Dietary Diversity Score (DDS),NA,6,Score,4.11,3.79,4.43,2002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,Dietary Diversity Score (DDS),NA,6,Score,4.38,4.09,4.67,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,Dietary Diversity Score (DDS),NA,6,Score,3.84,3.41,4.26,1002,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,Dietary Diversity Score (DDS),NA,6,Score,4.19,3.81,4.58,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,Dietary Diversity Score (DDS),NA,6,Score,4.01,3.58,4.45,912,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,NCD-Protect,NA,7,Score,2.2,1.96,2.44,2000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,NCD-Protect,NA,7,Score,2.41,2.16,2.65,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,NCD-Protect,NA,7,Score,2.01,1.71,2.3,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,NCD-Protect,NA,7,Score,2.34,2.02,2.65,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,NCD-Protect,NA,7,Score,2.06,1.76,2.36,910,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,NCD-Risk,NA,8,Score,1.09,0.89,1.28,1997,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,NCD-Risk,NA,8,Score,1.19,0.99,1.4,1000,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Female,NCD-Risk,NA,8,Score,0.98,0.75,1.22,997,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Urban,NCD-Risk,NA,8,Score,1.14,0.87,1.4,1090,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Rural,NCD-Risk,NA,8,Score,1.03,0.82,1.25,907,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,All,GDR score,NA,9,Score,10.11,9.96,10.26,1996,2022_07_20,2023_07_19,2022,2023
Low income,Asia Pacific,Afghanistan,AFG,Male,GDR score,NA,9,Score,10.21,10.03,10.39,1000,2022_07_20,2023_07_19,2022,2023
